Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2/8/2021 5:30,32.3182,-86.9023,472423,8515,252880,211028,1,9635.022949,2187329,,1.802410128,84000001,USA,44610.37061,
Alaska,US,2/8/2021 5:30,61.3707,-152.4044,55259,279,,54980,2,7553.739004,1536911,,0.50489513,84000002,USA,210091.1085,
American Samoa,US,2/8/2021 5:30,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.084722,
Arizona,US,2/8/2021 5:30,33.7298,-111.4312,780637,14048,107979,658610,4,10724.92584,3548393,,1.799556004,84000004,USA,48750.25365,
Arkansas,US,2/8/2021 5:30,34.9697,-92.3731,306736,5076,285306,16354,5,10164.21212,2529325,,1.654843253,84000005,USA,83813.42857,
California,US,2/8/2021 8:30,36.1162,-119.6816,3417982,44155,,3373827,6,8650.442168,43994322,,1.291844135,84000006,USA,111343.5759,
Colorado,US,2/8/2021 5:30,39.0598,-105.3111,405330,5731,21445,378154,8,7038.523732,5653529,,1.413909654,84000008,USA,98173.08868,
Connecticut,US,2/8/2021 5:30,41.5978,-72.7554,259372,7214,9800,242358,9,7274.926254,5959472,,2.781333374,84000009,USA,167152.6584,
Delaware,US,2/8/2021 5:30,39.3185,-75.5071,80594,1208,,79386,10,8276.543392,1269888,,1.498870884,84000010,USA,130410.2431,
Diamond Princess,US,2/8/2021 5:30,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2/8/2021 5:30,38.8974,-77.0268,38035,952,26835,10248,11,5389.309797,1135605,,2.502957802,84000011,USA,160907.7732,
Florida,US,2/8/2021 5:30,27.7663,-81.6868,1777983,27696,,1750287,12,8278.260414,19849863,,1.557720181,84000012,USA,92420.64469,
Georgia,US,2/8/2021 5:30,33.0406,-83.6431,940991,15092,,925899,13,8862.706139,6664276,,1.603841057,84000013,USA,62767.3589,
Grand Princess,US,2/8/2021 5:30,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,2/8/2021 5:30,13.4443,144.7937,7636,129,7416,91,66,4649.605125,109201,,1.68936616,316,GUM,66493.1285,
Hawaii,US,2/8/2021 5:30,21.0943,-157.4983,26684,417,,26267,15,1884.633639,1002019,,1.562734223,84000015,USA,70770.451,
Idaho,US,2/8/2021 5:30,44.2405,-114.4788,165209,1767,86078,77364,16,9244.7113,613210,,1.069554322,84000016,USA,34313.80504,
Illinois,US,2/8/2021 5:30,40.3495,-88.9861,1146346,21738,,1124608,17,9046.418822,16636585,,1.896286113,84000017,USA,131288.0367,
Indiana,US,2/8/2021 5:30,39.8494,-86.2583,639711,11817,415656,212238,18,9502.230988,7285821,,1.847240394,84000018,USA,108223.1728,
Iowa,US,2/8/2021 5:30,42.0115,-93.2105,324590,5108,293597,25885,19,10287.88585,1268161,,1.573677562,84000019,USA,40194.38554,
Kansas,US,2/8/2021 5:30,38.5266,-96.7265,283926,4075,5912,273939,20,9745.808382,1197053,,1.435233124,84000020,USA,41089.04842,
Kentucky,US,2/8/2021 5:30,37.6681,-84.6701,377790,4051,44945,373739,21,8421.677236,3676301,,1.068430019,84000021,USA,82286.7072,
Louisiana,US,2/8/2021 5:30,31.1695,-91.8678,411812,9119,363457,39236,22,8858.46953,5174839,,2.214359951,84000022,USA,111315.7305,
Maine,US,2/8/2021 5:30,44.6939,-69.3819,41219,635,12526,28058,23,3066.406192,1438379,,1.540551687,84000023,USA,107005.3682,
Maryland,US,2/8/2021 5:30,39.0639,-76.8021,363650,7349,9525,346776,24,6015.038838,7237247,,2.020899216,84000024,USA,119709.3958,
Massachusetts,US,2/8/2021 5:30,42.2302,-71.5301,543934,14999,425717,103218,25,7891.675927,14325516,,2.757503668,84000025,USA,207841.9988,
Michigan,US,2/8/2021 5:30,43.3266,-84.5361,620685,15854,498495,106336,26,6215.018399,9609921,,2.554274713,84000026,USA,96225.67941,
Minnesota,US,2/8/2021 5:30,45.6945,-93.9002,468118,6367,453225,8526,27,8300.506132,6415297,,1.360127147,84000027,USA,113753.8229,
Mississippi,US,2/8/2021 5:30,32.7416,-89.6787,281678,6269,238176,37233,28,9464.512697,1609308,,2.225590923,84000028,USA,54073.50237,
Missouri,US,2/8/2021 5:30,38.4561,-92.2884,481929,7449,,474480,29,7852.295783,4249531,,1.545663365,84000029,USA,69239.60656,
Montana,US,2/8/2021 5:30,46.9219,-110.4544,95790,1314,91162,3314,30,8962.572209,991141,,1.371750705,84000030,USA,92735.90961,
Nebraska,US,2/8/2021 5:30,41.1254,-98.2681,193722,1968,140408,51346,31,10014.53675,2181508,,1.015888748,84000031,USA,112773.9339,
